episode,steps,total_steps,return,status,on_pad,fuel,epsilon,loss_mean,q_mean,return_avg100,pad_rate100,seconds
218,524,89234,-186.34,out_of_bounds,0,94.68,0.05,0.2202,13.446,-71.33,0.05,29.7
219,1000,90234,-49.57,timeout,0,177.27,0.05,0.1916,11.514,-71.12,0.05,30.0
220,1000,91234,-30.47,timeout,0,176.34,0.05,0.2347,8.845,-70.5,0.05,30.3
221,1000,92234,-46.28,timeout,0,155.43,0.05,0.2113,13.073,-69.77,0.05,30.7
222,1000,93234,-18.57,timeout,0,153.84,0.05,0.2123,13.137,-69.28,0.05,31.0
223,1000,94234,-28.03,timeout,0,148.14,0.05,0.1953,13.398,-67.82,0.05,31.3
224,1000,95234,-32.29,timeout,0,164.64,0.05,0.1995,8.01,-66.79,0.05,31.6
225,996,96230,3.33,landed_off_pad,0,155.1,0.05,0.2287,5.951,-65.55,0.05,31.9
226,1000,97230,-35.03,timeout,0,178.05,0.05,0.2622,9.612,-64.6,0.05,32.2
227,1000,98230,4.7,timeout,0,167.73,0.05,0.1993,10.855,-63.44,0.05,32.6
228,941,99171,138.41,landed_on_pad,1,161.49,0.05,0.2458,11.199,-60.74,0.06,32.9
229,919,100090,111.42,landed_on_pad,1,155.61,0.05,0.2159,12.261,-59.14,0.07,33.1
230,1000,101090,-11.7,timeout,0,178.44,0.05,0.1828,11.924,-58.74,0.07,33.5
231,1000,102090,-41.63,timeout,0,177.24,0.05,0.1995,11.134,-59.15,0.07,33.8
232,1000,103090,-32.5,timeout,0,171.27,0.05,0.2009,10.388,-56.22,0.07,34.1
233,1000,104090,-18.3,timeout,0,175.38,0.05,0.1825,9.705,-54.4,0.07,34.4
234,1000,105090,-20.22,timeout,0,174.99,0.05,0.2135,10.496,-53.47,0.07,34.7
235,1000,106090,-23.27,timeout,0,177.42,0.05,0.1772,9.288,-52.47,0.07,35.1
236,1000,107090,-24.48,timeout,0,178.02,0.05,0.1828,6.439,-51.36,0.07,35.4
237,777,107867,135.28,landed_on_pad,1,130.26,0.05,0.2233,12.657,-49.17,0.08,35.6
238,886,108753,132.37,landed_on_pad,1,151.17,0.05,0.1883,11.717,-47.35,0.09,35.9
